storm,deaths,min_time,max_time,avg_elevation,min_elevation,max_elevation,med_elevation,avg_temperature_2m,min_temperature_2m,max_temperature_2m,med_temperature_2m,avg_relativehumidity_2m,min_relativehumidity_2m,max_relativehumidity_2m,med_relativehumidity_2m,avg_dewpoint_2m,min_dewpoint_2m,max_dewpoint_2m,med_dewpoint_2m,avg_apparent_temperature,min_apparent_temperature,max_apparent_temperature,med_apparent_temperature,avg_precipitation,min_precipitation,max_precipitation,med_precipitation,avg_rain,min_rain,max_rain,med_rain,avg_pressure_msl,min_pressure_msl,max_pressure_msl,med_pressure_msl,avg_surface_pressure,min_surface_pressure,max_surface_pressure,med_surface_pressure,avg_cloudcover,min_cloudcover,max_cloudcover,med_cloudcover,avg_cloudcover_low,min_cloudcover_low,max_cloudcover_low,med_cloudcover_low,avg_cloudcover_mid,min_cloudcover_mid,max_cloudcover_mid,med_cloudcover_mid,avg_cloudcover_high,min_cloudcover_high,max_cloudcover_high,med_cloudcover_high,avg_et0_fao_evapotranspiration,min_et0_fao_evapotranspiration,max_et0_fao_evapotranspiration,med_et0_fao_evapotranspiration,avg_vapor_pressure_deficit,min_vapor_pressure_deficit,max_vapor_pressure_deficit,med_vapor_pressure_deficit,avg_windspeed_10m,min_windspeed_10m,max_windspeed_10m,med_windspeed_10m,avg_windspeed_100m,min_windspeed_100m,max_windspeed_100m,med_windspeed_100m,avg_winddirection_10m,min_winddirection_10m,max_winddirection_10m,med_winddirection_10m,avg_winddirection_100m,min_winddirection_100m,max_winddirection_100m,med_winddirection_100m,avg_windgusts_10m,min_windgusts_10m,max_windgusts_10m,med_windgusts_10m,avg_soil_temperature_0_to_7cm,min_soil_temperature_0_to_7cm,max_soil_temperature_0_to_7cm,med_soil_temperature_0_to_7cm,avg_soil_temperature_7_to_28cm,min_soil_temperature_7_to_28cm,max_soil_temperature_7_to_28cm,med_soil_temperature_7_to_28cm,avg_soil_temperature_28_to_100cm,min_soil_temperature_28_to_100cm,max_soil_temperature_28_to_100cm,med_soil_temperature_28_to_100cm,avg_soil_temperature_100_to_255cm,min_soil_temperature_100_to_255cm,max_soil_temperature_100_to_255cm,med_soil_temperature_100_to_255cm,avg_soil_moisture_0_to_7cm,min_soil_moisture_0_to_7cm,max_soil_moisture_0_to_7cm,med_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,min_soil_moisture_7_to_28cm,max_soil_moisture_7_to_28cm,med_soil_moisture_7_to_28cm,avg_soil_moisture_28_to_100cm,min_soil_moisture_28_to_100cm,max_soil_moisture_28_to_100cm,med_soil_moisture_28_to_100cm,avg_soil_moisture_100_to_255cm,min_soil_moisture_100_to_255cm,max_soil_moisture_100_to_255cm,med_soil_moisture_100_to_255cm,target_cost
Georges,16,1998-09-15,1998-10-01,63.6,0.0,1445.0,0.0,26.18,18.2,29.4,26.8,88.17,67,100,87.0,24.02,17.8,26.0,24.2,26.51,17.3,34.3,26.9,3.56,0.0,34.0,1.2,3.56,0.0,34.0,1.2,1003.31,971.2,1015.3,1005.8,996.32,840.9,1015.3,1002.5,84.53,19,100,99.0,50.31,0,100,43.0,55.1,0,100,58.0,86.61,0,100,100.0,0.09,0.0,0.54,0.08,0.42,0.0,1.3,0.44,39.89,0.5,109.5,35.1,52.1,0.8,141.4,45.1,153.4,0,360,156.0,150.29,0,360,155.0,66.89,9.7,167.4,61.2,27.37,19.8,30.0,28.4,27.64,21.0,30.0,28.5,27.89,22.1,30.0,28.5,27.85,22.6,30.0,28.5,0.15,0.0,0.52,0.0,0.15,0.0,0.52,0.0,0.13,0.0,0.52,0.0,0.11,0.0,0.5,0.0,11191.0
Isidore,5,2002-09-14,2002-09-27,26.16,0.0,431.0,0.0,25.72,12.3,29.7,26.6,89.05,53,100,88.0,23.73,12.3,25.7,24.3,26.72,11.0,36.2,27.45,3.2,0.0,26.9,1.3,3.2,0.0,26.9,1.3,998.96,971.2,1015.9,1000.1,995.95,949.6,1013.8,997.65,82.61,0,100,95.0,49.11,0,100,37.0,53.53,0,100,53.5,92.86,0,100,100.0,0.09,0.0,0.67,0.07,0.39,0.0,1.66,0.4,34.48,1.8,89.9,31.65,44.53,2.3,117.9,40.1,161.46,1,359,152.0,162.2,1,358,151.5,56.6,8.6,135.0,52.6,27.42,14.1,45.6,28.5,27.72,15.6,33.4,28.6,28.33,17.9,31.9,28.8,28.26,17.1,31.2,28.8,0.14,0.0,0.52,0.0,0.14,0.0,0.52,0.0,0.11,0.0,0.49,0.0,0.09,0.0,0.5,0.0,1943.5
Lili,2,2002-09-21,2002-10-04,3.77,0.0,77.0,0.0,26.4,21.6,31.8,26.5,86.52,54,100,87.0,23.94,19.3,25.9,24.0,27.61,19.7,34.8,27.8,2.15,0.0,25.5,1.2,2.15,0.0,25.5,1.2,1006.89,980.8,1014.5,1008.3,1006.45,980.8,1014.5,1008.1,79.8,1,100,88.0,40.67,0,100,34.0,44.81,0,100,31.0,95.14,0,100,100.0,0.1,0.0,0.58,0.07,0.47,0.0,2.15,0.45,33.49,1.1,92.8,30.75,40.83,2.3,121.3,36.4,133.93,2,360,142.0,133.9,1,360,142.0,49.94,8.6,137.2,44.6,28.27,22.6,29.9,28.8,28.34,23.8,29.4,28.8,28.35,23.5,29.4,28.8,28.4,24.1,29.4,28.8,0.07,0.0,0.52,0.0,0.07,0.0,0.52,0.0,0.06,0.0,0.51,0.0,0.05,0.0,0.44,0.0,1866.6
Ivan,57,2004-09-02,2004-09-24,35.21,-2.0,891.0,0.0,25.9,12.1,29.7,26.7,85.13,45,100,85.0,23.15,8.8,26.3,23.9,24.78,8.7,34.5,25.4,3.41,0.0,35.9,1.1,3.41,0.0,35.9,1.1,1001.58,950.2,1021.5,1006.8,997.62,901.4,1021.5,1005.85,75.34,0,100,86.0,42.76,0,100,31.0,47.22,0,100,38.0,75.21,0,100,100.0,0.12,0.0,0.59,0.1,0.51,0.0,1.54,0.51,46.81,1.1,137.4,40.5,59.43,1.6,178.4,49.6,147.35,0,360,150.0,147.26,0,360,151.0,75.34,8.3,211.3,64.8,27.69,14.7,30.2,28.7,27.83,17.1,30.0,28.7,27.88,18.3,30.0,28.7,27.7,17.0,30.0,28.7,0.06,0.0,0.52,0.0,0.06,0.0,0.52,0.0,0.06,0.0,0.52,0.0,0.06,0.0,0.5,0.0,33005.8
Dorian,10,2019-08-24,2019-09-09,4.11,0.0,183.0,0.0,25.5,7.7,30.3,26.6,85.38,54,100,86.0,22.85,4.0,26.1,24.3,24.48,-2.2,34.2,26.9,3.15,0.0,20.6,1.5,3.15,0.0,20.6,1.5,1002.0,963.8,1018.3,1008.2,1001.51,943.8,1018.3,1007.3,79.08,0,100,90.0,42.53,0,100,34.0,50.15,0,100,47.0,86.49,0,100,100.0,0.12,0.0,0.59,0.09,0.48,0.0,1.43,0.46,46.03,4.7,111.0,39.0,56.82,4.4,146.9,46.15,156.08,0,360,160.0,156.48,1,360,160.0,70.72,6.1,166.0,60.65,27.16,8.1,30.1,28.6,27.39,8.1,30.2,28.8,27.47,8.1,30.2,28.8,27.39,8.1,30.2,28.8,0.05,0.0,0.47,0.0,0.04,0.0,0.44,0.0,0.03,0.0,0.43,0.0,0.02,0.0,0.38,0.0,1915.9
Allen,13,1980-07-31,1980-08-11,58.15,0.0,892.0,0.0,26.24,19.6,29.6,26.5,86.92,60,99,88.0,23.86,16.9,26.2,24.0,25.38,16.2,33.4,25.9,3.21,0.0,22.3,2.0,3.21,0.0,22.3,2.0,1002.03,964.1,1015.5,1006.2,995.58,905.6,1015.5,1004.7,84.38,18,100,98.0,43.03,0,100,32.0,60.15,0,100,70.0,96.68,0,100,100.0,0.11,0.0,0.52,0.09,0.46,0.02,1.27,0.42,47.4,5.6,107.0,44.1,59.98,7.9,143.3,55.7,113.87,0,360,126.0,111.28,0,360,124.0,73.79,15.5,165.2,68.0,27.97,22.8,32.7,28.1,28.36,25.2,33.0,28.2,28.89,27.1,34.3,28.45,28.36,26.3,30.2,28.25,0.06,0.0,0.52,0.0,0.05,0.0,0.52,0.0,0.03,0.0,0.42,0.0,0.03,0.0,0.28,0.0,2165.4
Elsa,1,2021-06-30,2021-07-10,14.35,0.0,127.0,0.0,25.5,14.5,32.4,26.3,86.07,57,100,86.0,22.92,11.8,25.5,23.5,27.0,12.0,37.9,27.2,1.54,0.0,23.6,0.4,1.54,0.0,23.6,0.4,1012.7,1000.1,1018.8,1013.2,1011.04,991.8,1018.8,1012.4,71.11,0,100,81.0,35.66,0,100,23.0,46.19,0,100,37.0,78.7,0,100,99.0,0.13,0.0,0.7,0.08,0.48,0.0,2.08,0.47,27.88,0.4,60.1,27.55,35.32,1.1,74.5,35.75,146.88,3,358,145.0,148.44,2,353,146.0,44.44,5.0,89.3,45.0,26.49,12.4,31.6,28.0,26.54,13.0,31.5,28.0,26.06,13.0,29.8,28.1,24.95,9.0,29.5,28.1,0.12,0.0,0.52,0.0,0.12,0.0,0.51,0.0,0.09,0.0,0.39,0.0,0.1,0.0,0.45,0.0,1358.6
Andrew,61,1992-08-16,1992-08-28,29.77,0.0,891.0,0.0,25.96,17.0,31.1,26.3,85.67,60,100,85.0,23.32,12.9,25.5,23.5,27.61,17.0,35.5,28.1,1.49,0.0,23.7,0.3,1.49,0.0,23.7,0.3,1012.96,989.9,1020.7,1014.9,1009.61,902.4,1020.7,1014.8,63.76,2,100,60.0,36.23,0,100,26.0,34.65,0,100,19.0,69.06,0,100,96.0,0.14,0.0,0.63,0.07,0.5,0.0,1.73,0.49,28.51,0.8,80.1,25.7,35.57,0.8,102.2,30.6,131.56,2,360,134.0,130.34,1,359,134.0,45.64,6.8,122.0,38.9,27.51,18.3,29.8,28.1,27.69,19.4,29.8,28.1,27.63,18.6,29.8,28.1,27.27,16.1,29.8,28.0,0.1,0.0,0.52,0.0,0.1,0.0,0.52,0.0,0.07,0.0,0.51,0.0,0.08,0.0,0.49,0.0,58590.0
Frances,48,2004-08-25,2004-09-10,49.5,0.0,396.0,0.0,25.21,9.8,28.6,26.5,88.2,59,100,87.0,23.06,9.4,25.8,24.1,24.04,5.9,34.1,24.5,3.74,0.0,24.4,1.9,3.74,0.0,24.4,1.9,1000.13,958.3,1021.2,1004.5,994.43,957.4,1021.2,998.8,85.75,0,100,100.0,50.46,0,100,41.0,62.85,0,100,74.0,83.0,0,100,100.0,0.1,0.0,0.57,0.09,0.41,0.0,0.99,0.44,46.85,0.7,123.7,41.1,61.29,0.4,167.8,50.85,148.23,0,360,161.0,147.63,0,360,160.0,77.59,5.0,196.2,65.2,26.47,12.2,29.6,28.5,26.7,13.2,30.0,28.5,26.83,13.3,30.0,28.5,26.3,11.5,30.0,28.5,0.12,0.0,0.52,0.0,0.12,0.0,0.52,0.0,0.1,0.0,0.51,0.0,0.09,0.0,0.47,0.0,15777.9
Charley,35,2004-08-09,2004-08-15,3.77,0.0,46.0,0.0,26.02,19.1,29.5,26.45,86.19,61,100,86.0,23.49,18.0,25.9,24.0,27.65,18.7,35.7,27.8,1.82,0.0,20.6,0.5,1.82,0.0,20.6,0.5,1013.62,999.6,1024.6,1013.35,1013.18,996.5,1024.6,1013.1,72.95,4,100,77.0,30.97,0,100,20.0,43.71,0,100,30.0,93.07,0,100,100.0,0.12,0.0,0.61,0.08,0.48,0.0,1.39,0.47,29.12,2.0,82.0,30.0,36.19,2.9,104.7,35.55,140.43,1,357,133.0,141.82,3,360,134.5,46.39,4.7,128.2,45.0,27.35,18.8,31.4,28.4,27.53,18.9,31.6,28.5,27.52,18.9,30.6,28.5,27.13,18.9,30.6,28.45,0.11,0.0,0.5,0.0,0.1,0.0,0.48,0.0,0.07,0.0,0.41,0.0,0.07,0.0,0.36,0.0,25759.2
Marilyn,13,1995-09-12,1995-10-01,2.8,0.0,221.0,0.0,25.67,22.1,28.5,25.9,87.27,72,95,88.0,23.38,17.8,25.1,23.6,26.36,15.5,33.8,26.7,1.19,0.0,22.6,0.2,1.19,0.0,22.6,0.2,1007.61,974.5,1021.6,1008.9,1007.3,974.5,1021.6,1008.8,66.05,0,100,67.0,40.27,0,100,28.0,35.66,0,100,25.0,56.44,0,100,78.0,0.12,0.0,0.54,0.08,0.42,0.15,0.91,0.4,34.84,0.8,104.6,33.2,42.17,0.8,142.6,38.4,162.85,1,360,168.0,163.39,1,360,167.5,50.77,7.2,158.0,46.1,26.8,23.5,29.2,27.0,26.85,23.4,29.4,27.1,26.86,23.4,29.4,27.1,26.86,23.4,29.4,27.1,0.01,0.0,0.52,0.0,0.01,0.0,0.52,0.0,0.01,0.0,0.39,0.0,0.0,0.0,0.17,0.0,4200.0
Dennis,15,2005-07-04,2005-07-18,95.58,0.0,308.0,93.0,24.91,18.2,31.9,26.0,87.85,49,100,89.0,22.65,17.7,25.9,23.0,26.57,17.9,34.5,26.2,1.9,0.0,21.6,0.4,1.9,0.0,21.6,0.4,1007.82,977.0,1017.0,1010.5,996.83,972.6,1014.9,994.95,80.25,0,100,97.0,52.92,0,100,47.0,52.24,0,100,45.0,68.7,0,100,99.0,0.11,0.0,0.62,0.07,0.42,0.0,2.43,0.38,25.38,0.4,90.3,18.9,33.74,0.4,120.7,27.0,160.15,1,360,166.0,157.45,1,360,164.0,42.87,1.8,131.4,35.6,25.91,20.0,30.7,26.6,25.9,20.8,30.6,25.65,25.25,18.7,29.7,24.2,22.17,11.3,29.7,20.1,0.23,0.0,0.52,0.3,0.19,0.0,0.52,0.2,0.17,0.0,0.48,0.22,0.22,0.0,0.47,0.27,3892.3
Maria,2981,2017-09-16,2017-10-02,10.63,0.0,370.0,0.0,25.55,14.3,29.0,26.5,86.71,58,99,88.0,23.13,8.4,26.6,24.5,23.14,6.4,33.6,23.5,3.22,0.0,27.9,1.3,3.22,0.0,27.9,1.3,997.1,963.2,1030.9,999.6,995.9,940.5,1030.9,999.0,84.58,0,100,99.0,55.88,0,100,55.5,49.11,0,100,46.0,79.3,0,100,100.0,0.11,0.0,0.42,0.09,0.43,0.03,1.08,0.41,56.07,2.4,132.8,54.55,71.63,3.3,179.6,68.5,171.19,0,360,175.0,171.47,0,360,175.0,85.64,11.9,193.3,82.1,26.55,16.0,29.3,27.1,26.67,16.1,29.5,27.7,26.7,16.1,29.5,27.65,26.69,16.1,29.5,27.65,0.03,0.0,0.52,0.0,0.02,0.0,0.52,0.0,0.02,0.0,0.48,0.0,0.02,0.0,0.42,0.0,111600.0
Ian,152,2022-09-22,2022-10-01,14.44,-1.0,261.0,0.0,25.81,12.7,29.2,26.6,86.73,56,100,87.0,23.39,11.9,26.1,24.4,25.84,8.5,34.4,26.6,3.22,0.0,26.1,1.5,3.22,0.0,26.1,1.5,1001.95,973.1,1014.0,1004.95,1000.28,956.5,1014.1,1004.15,80.55,4,100,91.0,46.92,0,100,38.0,46.21,0,100,38.0,85.24,0,100,100.0,0.11,0.0,0.59,0.08,0.46,0.0,1.18,0.44,40.09,2.4,105.3,36.4,50.11,1.6,139.8,45.15,169.5,1,360,181.0,168.87,1,360,180.0,60.87,10.8,145.8,55.1,27.98,15.0,30.5,29.5,28.25,16.9,30.5,29.5,28.82,21.3,30.5,29.5,28.92,22.3,30.5,29.5,0.1,0.0,0.52,0.0,0.1,0.0,0.52,0.0,0.08,0.0,0.4,0.0,0.07,0.0,0.41,0.0,115154.0
Hugo,86,1989-09-10,1989-09-25,59.75,0.0,719.0,0.0,23.34,0.2,28.9,26.4,85.83,38,100,86.0,20.77,-3.8,25.8,23.8,22.13,-10.5,32.3,25.5,2.29,0.0,34.4,0.6,2.28,0.0,34.4,0.6,1002.38,956.7,1019.6,1005.5,995.45,900.8,1017.0,1004.7,77.74,0,100,88.0,47.53,0,100,37.0,45.62,0,100,36.5,85.08,0,100,100.0,0.11,0.0,0.51,0.08,0.43,0.0,1.75,0.46,41.79,1.3,103.5,38.25,53.69,2.3,139.7,46.7,147.19,1,360,157.0,147.7,1,360,157.0,64.63,16.2,164.2,58.0,24.35,3.0,29.0,27.2,24.47,4.6,29.0,27.5,24.47,5.8,29.0,27.5,24.29,5.8,29.0,27.3,0.09,0.0,0.52,0.0,0.09,0.0,0.52,0.0,0.07,0.0,0.48,0.0,0.08,0.0,0.47,0.0,22049.8
Isaias,16,2020-07-28,2020-08-05,23.14,0.0,322.0,0.0,26.69,17.4,34.9,27.3,85.07,48,100,86.0,23.86,13.3,26.4,24.5,27.87,15.9,40.4,27.9,1.79,0.0,23.3,0.5,1.79,0.0,23.3,0.5,1008.92,997.1,1017.7,1009.3,1006.25,967.7,1016.2,1008.3,73.41,0,100,76.0,37.71,0,100,28.5,40.77,0,100,29.0,86.88,0,100,100.0,0.14,0.0,0.68,0.1,0.55,0.0,2.89,0.52,33.97,1.3,78.5,34.35,42.77,1.8,102.6,42.45,141.47,3,359,151.0,142.68,2,342,151.0,55.48,11.9,110.5,54.0,27.86,18.1,36.5,28.8,28.09,18.6,31.9,29.0,28.02,17.9,32.5,29.0,27.04,13.0,31.7,28.9,0.12,0.0,0.52,0.0,0.11,0.0,0.52,0.0,0.09,0.0,0.42,0.0,0.1,0.0,0.46,0.0,5613.1
Sandy,159,2012-10-21,2012-10-31,56.33,0.0,517.0,0.0,21.99,1.4,29.2,25.45,88.46,64,100,88.0,19.93,1.4,25.6,23.4,20.22,-3.2,32.8,23.9,2.03,0.0,22.3,1.0,2.03,0.0,22.3,0.9,989.37,947.4,1010.1,992.85,982.76,916.1,1010.1,985.8,86.78,0,100,100.0,56.71,0,100,55.0,62.95,0,100,70.0,77.62,0,100,99.0,0.09,0.0,0.48,0.06,0.36,0.0,1.23,0.36,42.28,0.4,103.7,39.7,54.69,0.8,136.5,51.1,181.35,1,360,213.5,182.99,2,360,215.5,67.33,5.0,168.1,65.5,23.57,4.8,29.4,26.5,24.02,7.4,29.5,26.5,24.87,12.0,29.5,26.9,25.49,16.1,29.5,26.9,0.12,0.0,0.52,0.0,0.12,0.0,0.52,0.0,0.09,0.0,0.5,0.0,0.09,0.0,0.44,0.0,85852.4
Florence,53,2018-08-30,2018-09-18,39.39,0.0,572.0,0.0,25.58,17.8,28.9,26.0,88.73,62,100,88.0,23.53,17.3,26.2,23.8,25.37,17.8,33.7,25.4,2.73,0.0,38.6,1.4,2.73,0.0,38.6,1.4,1005.02,970.1,1017.1,1007.2,1000.52,944.2,1017.1,1005.4,84.6,2,100,100.0,51.85,0,100,46.0,58.77,0,100,64.0,85.34,0,100,99.0,0.1,0.0,0.49,0.08,0.39,0.0,1.39,0.4,41.55,0.8,112.2,41.3,53.01,1.1,151.0,50.3,146.03,0,360,153.0,146.37,0,360,154.0,64.6,9.4,171.0,60.8,26.56,18.7,29.4,27.2,26.77,19.7,29.5,27.2,26.86,18.6,29.5,27.45,26.41,17.3,29.5,27.2,0.09,0.0,0.52,0.0,0.09,0.0,0.52,0.0,0.07,0.0,0.42,0.0,0.08,0.0,0.44,0.0,29040.0
Harvey,89,2017-08-16,2017-09-02,41.47,0.0,566.0,0.0,25.27,12.1,30.0,26.1,88.95,58,100,89.0,23.26,12.1,26.0,24.0,27.23,11.0,34.4,28.2,1.48,0.0,18.0,0.6,1.48,0.0,18.0,0.6,1006.05,985.0,1017.1,1007.5,1001.28,943.0,1014.0,1003.3,80.2,3,100,100.0,57.3,0,100,56.0,51.13,0,100,45.0,71.34,0,100,97.0,0.1,0.0,0.61,0.06,0.38,0.0,1.48,0.38,26.2,1.1,76.5,23.9,33.59,1.8,103.1,30.4,158.32,2,360,144.0,158.55,1,360,144.0,43.38,11.2,109.8,39.2,27.07,14.8,30.1,28.6,27.6,18.0,30.5,28.6,28.37,21.6,31.6,28.9,27.69,20.3,30.2,28.5,0.18,0.0,0.52,0.0,0.18,0.0,0.52,0.0,0.14,0.0,0.52,0.0,0.14,0.0,0.52,0.0,155000.0
Gloria,11,1985-09-16,1985-10-02,22.23,0.0,567.0,0.0,21.43,3.7,27.9,25.5,86.88,59,100,87.0,19.12,2.4,25.5,23.2,20.12,-9.2,32.7,25.2,1.16,0.0,20.6,0.3,1.16,0.0,20.6,0.3,1000.53,960.6,1018.0,1006.95,997.94,922.8,1015.9,1006.4,78.47,0,100,89.0,50.84,0,100,43.0,45.39,0,100,36.0,70.5,0,100,98.0,0.1,0.0,0.56,0.07,0.37,0.0,1.05,0.39,36.83,0.7,107.1,33.95,45.56,0.7,143.3,40.3,150.75,2,360,138.0,151.58,1,360,139.0,53.79,8.3,156.6,47.9,22.39,4.1,28.6,26.8,22.4,4.0,28.6,26.8,22.39,4.0,28.6,26.8,22.33,4.0,28.6,26.8,0.03,0.0,0.52,0.0,0.03,0.0,0.51,0.0,0.02,0.0,0.41,0.0,0.03,0.0,0.47,0.0,2414.0
Isabel,55,2003-09-06,2003-09-20,30.38,0.0,505.0,0.0,25.83,10.0,28.5,26.6,86.38,49,100,87.0,23.34,5.9,25.8,24.2,23.26,6.3,34.4,23.9,3.67,0.0,27.3,1.9,3.67,0.0,27.3,1.9,997.14,953.4,1023.3,1002.1,993.62,934.7,1014.1,1000.3,80.66,0,100,92.0,42.2,0,100,34.0,52.94,0,100,49.0,91.92,0,100,100.0,0.12,0.0,0.58,0.1,0.47,0.0,1.96,0.46,57.7,3.1,129.1,56.4,74.62,3.7,175.0,70.8,160.58,0,360,169.0,159.79,0,360,169.0,89.72,8.6,194.8,83.2,26.7,12.1,28.7,27.6,26.79,13.4,28.7,27.8,26.84,14.8,28.7,27.8,26.76,13.4,28.7,27.8,0.04,0.0,0.52,0.0,0.04,0.0,0.52,0.0,0.04,0.0,0.5,0.0,0.04,0.0,0.48,0.0,9048.6
Matthew,49,2016-09-28,2016-10-10,20.0,0.0,555.0,0.0,26.34,19.0,29.3,26.9,86.58,48,98,88.0,23.88,10.8,25.9,24.6,24.2,12.0,33.7,24.3,5.22,0.0,32.1,3.2,5.22,0.0,32.1,3.2,998.07,971.0,1020.7,999.65,995.85,917.4,1020.7,998.85,85.33,0,100,100.0,50.55,0,100,47.0,58.61,0,100,66.0,87.78,0,100,100.0,0.1,0.0,0.43,0.09,0.46,0.05,1.4,0.44,56.51,4.3,108.2,56.9,72.51,3.3,144.6,72.7,161.0,0,359,157.0,162.49,1,359,159.0,89.88,17.3,170.6,89.1,27.79,22.0,29.7,28.5,27.94,23.7,29.9,28.5,28.08,24.5,29.9,28.5,28.15,25.4,29.9,28.5,0.06,0.0,0.52,0.0,0.06,0.0,0.52,0.0,0.05,0.0,0.52,0.0,0.04,0.0,0.36,0.0,12600.0
Gustav,53,2008-08-25,2008-09-05,59.58,0.0,373.0,0.0,25.11,14.6,29.1,26.1,89.69,61,100,89.0,23.24,12.6,26.2,24.0,26.35,13.1,34.3,26.6,3.11,0.0,30.7,1.95,3.11,0.0,30.7,1.95,1002.18,962.7,1015.4,1004.0,995.35,956.4,1011.6,998.35,85.68,8,100,100.0,55.96,0,100,60.0,59.27,0,100,71.0,87.68,0,100,100.0,0.08,0.0,0.56,0.06,0.35,0.0,1.29,0.36,30.82,0.7,102.4,25.0,41.2,1.0,131.8,33.2,149.02,3,360,158.0,149.06,1,357,158.0,55.3,7.9,171.4,49.0,26.77,17.9,30.6,27.9,27.44,20.4,31.2,28.7,27.84,21.1,31.4,28.8,27.04,17.8,30.7,28.5,0.23,0.0,0.52,0.29,0.22,0.0,0.52,0.25,0.17,0.0,0.51,0.19,0.18,0.0,0.46,0.22,8395.8
Eta,12,2020-10-31,2020-11-14,81.19,0.0,2081.0,0.0,25.23,11.3,28.4,26.1,88.35,57,100,89.0,23.12,9.8,25.6,23.9,26.35,10.0,32.8,26.9,2.51,0.0,30.0,0.8,2.51,0.0,30.0,0.8,1004.54,986.6,1022.0,1005.2,995.71,790.7,1022.0,1003.7,81.11,0,100,95.0,48.44,0,100,38.5,55.46,0,100,59.0,83.21,0,100,100.0,0.09,0.0,0.46,0.06,0.39,0.0,1.21,0.38,31.11,1.0,84.5,30.9,38.55,0.8,107.7,37.8,172.77,1,360,144.0,174.34,2,359,145.5,50.24,8.6,134.3,49.3,26.72,12.7,29.4,28.1,26.79,13.6,29.4,28.1,27.07,15.3,29.4,28.1,27.35,16.3,30.2,28.3,0.1,0.0,0.54,0.0,0.1,0.0,0.54,0.0,0.1,0.0,0.53,0.0,0.09,0.0,0.54,0.0,1708.3
Fred,7,2021-08-09,2021-08-20,144.0,0.0,1034.0,0.0,25.3,19.2,31.5,26.1,87.02,49,100,88.0,22.88,15.8,25.8,23.5,28.14,19.9,37.0,28.55,1.27,0.0,18.7,0.3,1.27,0.0,18.7,0.3,1013.54,1002.5,1021.3,1013.9,997.26,901.3,1017.9,1010.8,75.85,0,100,86.0,43.53,0,100,34.0,44.97,0,100,36.0,78.12,0,100,99.0,0.11,0.0,0.67,0.07,0.45,0.0,2.07,0.4,18.36,1.0,58.3,15.6,24.48,0.8,70.6,23.8,151.43,3,360,134.0,152.05,3,360,135.0,33.61,4.7,74.9,33.3,26.67,19.6,39.4,28.25,26.89,19.5,34.2,28.5,26.7,17.8,33.5,28.6,25.23,14.2,32.0,28.4,0.21,0.0,0.52,0.22,0.19,0.0,0.52,0.2,0.16,0.0,0.45,0.15,0.18,0.0,0.46,0.22,1430.2
Fran,37,1996-08-23,1996-09-10,57.1,0.0,655.0,0.0,24.52,12.3,29.8,25.8,88.41,61,100,88.0,22.42,11.0,25.5,23.5,25.03,10.7,33.2,26.1,1.96,0.0,27.9,0.8,1.96,0.0,27.9,0.8,1005.0,956.6,1016.0,1007.7,998.44,922.6,1016.0,1006.3,85.26,0,100,100.0,50.62,0,100,41.0,59.07,0,100,63.0,86.08,0,100,100.0,0.09,0.0,0.61,0.06,0.38,0.0,1.63,0.4,32.7,0.8,112.6,28.2,41.68,0.8,154.4,35.9,193.03,1,360,219.0,192.16,2,360,217.0,50.25,4.3,180.4,44.3,25.55,13.8,28.8,27.2,25.57,14.3,28.8,27.2,25.48,15.0,28.8,27.2,24.92,13.0,28.8,27.2,0.09,0.0,0.52,0.0,0.09,0.0,0.52,0.0,0.08,0.0,0.46,0.0,0.09,0.0,0.46,0.0,9713.6
Laura,42,2020-08-20,2020-08-29,93.48,0.0,1050.0,0.0,26.57,19.4,32.4,27.0,86.39,52,100,86.0,24.02,18.3,26.4,24.4,28.67,18.8,36.4,28.9,2.73,0.0,36.0,0.5,2.73,0.0,36.0,0.5,1008.32,979.9,1016.8,1009.9,997.91,891.0,1015.8,1008.5,75.13,0,100,87.0,41.85,0,100,29.0,46.66,0,100,35.0,85.3,0,100,100.0,0.12,0.0,0.61,0.08,0.51,0.0,2.1,0.49,28.16,0.0,80.2,25.8,36.32,0.0,106.6,32.7,143.7,3,360,146.0,145.33,1,360,146.0,48.62,8.3,150.8,43.6,27.97,21.1,33.2,28.7,28.27,22.4,32.5,28.8,28.23,22.9,32.2,28.85,27.41,20.2,31.5,28.7,0.17,0.0,0.52,0.0,0.16,0.0,0.52,0.0,0.13,0.0,0.45,0.0,0.14,0.0,0.46,0.0,27393.7
