storm,deaths,min_time,max_time,avg_elevation,min_elevation,max_elevation,med_elevation,avg_temperature_2m,min_temperature_2m,max_temperature_2m,med_temperature_2m,avg_relativehumidity_2m,min_relativehumidity_2m,max_relativehumidity_2m,med_relativehumidity_2m,avg_dewpoint_2m,min_dewpoint_2m,max_dewpoint_2m,med_dewpoint_2m,avg_apparent_temperature,min_apparent_temperature,max_apparent_temperature,med_apparent_temperature,avg_precipitation,min_precipitation,max_precipitation,med_precipitation,avg_rain,min_rain,max_rain,med_rain,avg_pressure_msl,min_pressure_msl,max_pressure_msl,med_pressure_msl,avg_surface_pressure,min_surface_pressure,max_surface_pressure,med_surface_pressure,avg_cloudcover,min_cloudcover,max_cloudcover,med_cloudcover,avg_cloudcover_low,min_cloudcover_low,max_cloudcover_low,med_cloudcover_low,avg_cloudcover_mid,min_cloudcover_mid,max_cloudcover_mid,med_cloudcover_mid,avg_cloudcover_high,min_cloudcover_high,max_cloudcover_high,med_cloudcover_high,avg_et0_fao_evapotranspiration,min_et0_fao_evapotranspiration,max_et0_fao_evapotranspiration,med_et0_fao_evapotranspiration,avg_vapor_pressure_deficit,min_vapor_pressure_deficit,max_vapor_pressure_deficit,med_vapor_pressure_deficit,avg_windspeed_10m,min_windspeed_10m,max_windspeed_10m,med_windspeed_10m,avg_windspeed_100m,min_windspeed_100m,max_windspeed_100m,med_windspeed_100m,avg_winddirection_10m,min_winddirection_10m,max_winddirection_10m,med_winddirection_10m,avg_winddirection_100m,min_winddirection_100m,max_winddirection_100m,med_winddirection_100m,avg_windgusts_10m,min_windgusts_10m,max_windgusts_10m,med_windgusts_10m,avg_soil_temperature_0_to_7cm,min_soil_temperature_0_to_7cm,max_soil_temperature_0_to_7cm,med_soil_temperature_0_to_7cm,avg_soil_temperature_7_to_28cm,min_soil_temperature_7_to_28cm,max_soil_temperature_7_to_28cm,med_soil_temperature_7_to_28cm,avg_soil_temperature_28_to_100cm,min_soil_temperature_28_to_100cm,max_soil_temperature_28_to_100cm,med_soil_temperature_28_to_100cm,avg_soil_temperature_100_to_255cm,min_soil_temperature_100_to_255cm,max_soil_temperature_100_to_255cm,med_soil_temperature_100_to_255cm,avg_soil_moisture_0_to_7cm,min_soil_moisture_0_to_7cm,max_soil_moisture_0_to_7cm,med_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,min_soil_moisture_7_to_28cm,max_soil_moisture_7_to_28cm,med_soil_moisture_7_to_28cm,avg_soil_moisture_28_to_100cm,min_soil_moisture_28_to_100cm,max_soil_moisture_28_to_100cm,med_soil_moisture_28_to_100cm,avg_soil_moisture_100_to_255cm,min_soil_moisture_100_to_255cm,max_soil_moisture_100_to_255cm,med_soil_moisture_100_to_255cm,target_cost
Elena,4,1985-08-28,1985-09-04,66.88,0.0,469.0,0.0,25.92,21.6,32.1,26.2,85.62,50,100,87.0,23.22,17.8,25.6,23.7,26.53,18.9,35.1,26.7,2.15,0.0,16.3,0.7,2.15,0.0,16.3,0.7,1005.17,981.3,1017.5,1009.1,997.58,956.4,1017.5,1001.8,79.98,0,100,95.0,47.14,0,100,37.0,48.7,0,100,40.0,82.46,0,100,99.0,0.11,0.0,0.65,0.08,0.5,0.0,2.25,0.43,34.84,1.4,92.2,29.0,46.17,2.2,119.3,37.85,156.3,1,360,154.0,154.0,0,360,154.0,58.38,6.5,145.1,49.0,27.37,22.6,32.2,28.2,27.67,23.8,30.5,28.2,27.29,22.1,29.3,28.2,26.33,19.3,29.3,28.1,0.16,0.0,0.52,0.0,0.16,0.0,0.47,0.0,0.14,0.0,0.42,0.0,0.16,0.0,0.46,0.0,3671.6
Nicole,5,2022-11-06,2022-11-11,44.58,0.0,827.0,0.0,23.66,13.4,27.5,24.9,88.22,67,100,88.0,21.53,12.0,24.1,22.5,23.22,13.2,30.4,24.2,1.2,0.0,8.1,0.8,1.2,0.0,8.1,0.8,1003.33,988.5,1015.9,1004.1,998.26,908.3,1015.5,1003.0,73.86,5,100,80.0,45.62,0,100,33.0,48.18,0,100,37.0,67.81,0,100,87.0,0.09,0.0,0.44,0.07,0.37,0.0,1.16,0.36,35.56,1.8,83.9,36.35,44.61,3.1,103.2,45.7,191.55,1,360,234.0,190.75,2,359,233.5,52.08,7.9,100.8,52.9,25.08,13.7,28.5,26.8,25.29,13.7,28.9,26.8,25.95,14.6,28.9,26.9,26.45,16.4,28.9,27.5,0.15,0.0,0.52,0.0,0.12,0.0,0.52,0.0,0.11,0.0,0.43,0.0,0.13,0.0,0.47,0.0,1050.6
Nicholas,0,2021-09-12,2021-09-17,5.19,0.0,54.0,0.0,25.63,22.0,30.0,25.9,88.33,61,100,89.0,23.49,19.2,25.9,23.7,28.7,22.1,35.0,28.7,1.33,0.0,20.7,0.2,1.33,0.0,20.7,0.2,1008.82,1002.8,1015.2,1008.5,1008.22,1001.6,1015.1,1008.1,82.99,19,100,97.0,57.84,0,100,55.0,49.07,0,100,44.0,51.38,0,100,53.0,0.1,0.0,0.53,0.05,0.4,0.01,1.68,0.36,18.86,1.4,60.3,15.35,25.14,2.5,71.7,20.8,176.27,1,360,184.0,175.48,1,360,178.5,36.19,4.7,87.5,32.0,26.91,23.2,30.1,26.6,27.09,24.2,30.3,26.2,27.64,25.2,30.3,27.2,27.2,24.2,30.3,26.1,0.28,0.0,0.52,0.41,0.29,0.0,0.52,0.41,0.26,0.0,0.52,0.35,0.27,0.0,0.49,0.36,1137.9
Rita,119,2005-09-18,2005-09-26,26.78,0.0,220.0,0.0,26.43,18.0,32.2,27.1,87.47,51,100,88.0,24.11,16.0,26.4,24.75,25.74,16.1,34.7,25.7,3.42,0.0,35.2,1.8,3.42,0.0,35.2,1.8,997.25,958.4,1016.0,1001.45,994.18,958.4,1012.7,996.25,79.2,0,100,91.0,45.85,0,100,34.0,49.15,0,100,42.0,87.02,0,100,100.0,0.11,0.0,0.61,0.09,0.45,0.0,2.34,0.43,47.4,2.1,110.7,45.25,61.63,2.3,150.0,56.9,149.83,0,360,161.5,148.17,0,360,160.0,77.03,5.0,173.2,72.7,28.27,19.7,30.4,29.1,28.67,21.4,30.6,29.3,28.85,22.8,30.6,29.3,28.27,21.5,30.6,29.2,0.11,0.0,0.52,0.0,0.1,0.0,0.52,0.0,0.07,0.0,0.36,0.0,0.09,0.0,0.43,0.0,28490.1
Alberto,32,1994-06-30,1994-07-07,97.81,0.0,280.0,69.5,24.43,20.6,29.1,24.7,92.42,73,100,93.0,23.06,20.1,25.2,23.1,27.09,21.8,33.6,27.2,2.3,0.0,18.0,1.1,2.3,0.0,18.0,1.1,1012.54,1007.2,1017.5,1012.5,1001.26,980.5,1014.6,1004.8,84.89,16,100,100.0,59.35,0,100,56.0,56.36,0,100,52.5,90.29,2,100,98.0,0.08,0.0,0.48,0.04,0.25,0.0,1.04,0.22,19.89,0.5,44.3,19.5,27.26,0.5,55.1,27.7,172.53,4,360,180.5,174.54,2,336,184.0,36.05,10.1,65.2,36.7,25.77,21.9,29.0,25.15,25.86,22.3,29.1,25.3,25.38,21.8,29.1,24.6,23.22,17.6,29.1,21.0,0.25,0.0,0.52,0.34,0.25,0.0,0.52,0.29,0.24,0.0,0.52,0.27,0.23,0.0,0.5,0.24,2057.0
Erin,6,1995-07-31,1995-08-06,51.7,0.0,250.0,1.0,25.53,20.3,30.5,26.05,88.5,58,100,90.0,23.39,19.2,25.1,23.8,26.98,22.2,35.2,26.5,2.52,0.0,13.9,1.4,2.52,0.0,13.9,1.4,1006.66,995.8,1014.6,1007.1,1000.73,977.2,1013.7,1002.5,82.35,0,100,100.0,55.67,0,100,52.0,53.1,0,100,49.0,80.14,0,100,99.0,0.1,0.0,0.61,0.07,0.4,0.0,1.68,0.34,29.62,0.4,65.1,27.95,39.8,2.2,82.3,40.25,143.32,2,360,161.0,142.5,1,359,162.0,51.11,10.1,94.7,52.6,26.99,21.5,32.1,28.0,27.38,22.9,30.2,27.8,27.16,22.8,29.5,27.2,25.21,17.4,29.5,26.4,0.21,0.0,0.52,0.27,0.2,0.0,0.52,0.23,0.16,0.0,0.44,0.22,0.19,0.0,0.47,0.21,1700.0
Katrina,1833,2005-08-23,2005-08-31,35.18,0.0,264.0,0.0,26.47,18.5,30.8,27.0,87.26,51,100,88.0,24.1,16.1,26.5,24.8,26.17,13.7,33.7,26.55,3.76,0.0,27.9,1.6,3.76,0.0,27.9,1.6,996.23,935.8,1013.1,1000.25,992.23,935.8,1013.1,996.05,78.54,4,100,88.5,42.43,0,100,30.0,49.73,0,100,45.5,86.2,0,100,100.0,0.1,0.0,0.59,0.09,0.46,0.0,2.2,0.42,44.87,1.4,133.1,36.05,58.87,1.8,181.1,49.05,180.26,1,360,182.0,180.9,2,360,183.0,72.84,9.0,190.8,62.3,28.11,19.5,30.9,29.2,28.48,21.1,31.0,29.5,28.69,22.3,31.0,29.5,27.73,19.7,31.0,29.5,0.15,0.0,0.52,0.0,0.14,0.0,0.52,0.0,0.11,0.0,0.43,0.0,0.12,0.0,0.46,0.0,195046.1
Juan,63,1985-10-26,1985-11-01,27.17,0.0,250.0,0.0,21.7,14.6,26.2,22.0,90.77,71,100,91.0,20.08,13.0,23.8,20.5,21.22,13.1,30.4,21.6,1.15,0.0,10.4,0.55,1.15,0.0,10.4,0.55,992.7,981.4,1005.3,991.6,989.56,962.5,1005.3,990.1,87.79,23,100,100.0,70.4,0,100,85.5,55.49,0,100,52.0,61.88,0,100,70.5,0.06,0.0,0.43,0.04,0.26,0.0,0.68,0.25,30.64,0.8,71.5,29.55,39.66,0.8,89.7,36.1,198.58,1,358,222.5,197.63,1,360,218.0,47.49,11.9,108.7,43.0,23.38,15.5,28.0,23.2,23.75,16.2,28.2,23.4,24.59,18.2,28.2,24.2,25.25,19.9,28.2,25.0,0.19,0.0,0.52,0.0,0.19,0.0,0.52,0.0,0.18,0.0,0.52,0.0,0.16,0.0,0.48,0.0,4205.8
Sally,5,2020-09-11,2020-09-18,29.79,0.0,201.0,0.0,25.65,19.5,28.6,26.6,89.22,62,100,89.0,23.68,18.0,26.2,24.3,27.03,18.7,34.4,27.2,3.58,0.0,41.0,1.7,3.58,0.0,41.0,1.7,1003.55,984.5,1015.4,1004.9,1000.11,979.8,1015.4,1001.3,89.46,27,100,100.0,62.15,0,100,65.5,49.91,0,100,44.0,86.45,0,100,100.0,0.08,0.0,0.45,0.06,0.38,0.0,1.49,0.39,31.47,1.8,75.5,30.6,41.18,2.3,105.9,37.95,159.5,1,360,157.0,156.64,2,360,153.0,51.7,5.0,135.7,48.2,27.29,21.1,30.1,29.0,27.64,22.5,30.2,29.0,28.23,24.6,30.2,29.0,27.84,23.6,30.2,29.0,0.17,0.0,0.52,0.0,0.17,0.0,0.52,0.0,0.15,0.0,0.52,0.0,0.15,0.0,0.46,0.0,8583.2
Bob,18,1991-08-16,1991-08-29,2.87,0.0,130.0,0.0,20.01,7.7,28.7,20.0,86.21,62,100,86.0,17.6,5.3,25.0,17.5,19.35,-0.1,32.3,20.0,0.73,0.0,14.1,0.1,0.73,0.0,14.1,0.1,1010.56,977.3,1026.5,1011.75,1010.22,976.4,1026.5,1011.7,61.08,0,100,58.0,47.29,0,100,37.0,25.72,0,100,17.0,35.52,0,100,11.0,0.11,0.0,0.55,0.06,0.34,0.0,0.96,0.33,25.77,0.4,93.5,23.55,31.37,0.5,128.0,28.1,182.81,1,360,196.0,183.51,1,360,198.0,38.94,6.8,142.6,34.6,21.25,7.6,29.2,21.0,21.29,7.7,29.4,20.9,21.27,7.7,29.4,20.9,20.78,7.7,29.4,20.9,0.05,0.0,0.44,0.0,0.04,0.0,0.44,0.0,0.03,0.0,0.33,0.0,0.04,0.0,0.37,0.0,3366.5
