,storm_id,storm_year,storm_basin,storm_max_wind,storm_min_wind,storm_avg_wind,storm_max_pressure,storm_min_pressure,storm_avg_pressure,storm_start_time,storm_end_time,Category,Adjusted_2023_Cost_BDollars,storm_name
38,AL061954,1954,north_atlantic,100,30,70.83333333333333,,,,1954-08-25 12:00:00,1954-09-01 06:00:00,3,5.2,CAROL
39,AL282020,2020,north_atlantic,100,25,59.2,1007.0,970.0,989.12,2020-10-24 12:00:00,2020-10-30 00:00:00,2,5.1,ZETA
40,AL151995,1995,north_atlantic,100,20,51.139240506329116,1016.0,949.0,991.8354430379746,1995-09-12 18:00:00,1995-10-01 18:00:00,2,4.2,MARILYN
41,AL121985,1985,north_atlantic,75,25,53.275862068965516,1005.0,971.0,983.7241379310345,1985-10-26 00:00:00,1985-11-01 18:00:00,1,4.2,JUAN
42,AL051960,1960,north_atlantic,125,25,85.625,,,,1960-08-29 18:00:00,1960-09-14 12:00:00,4,4.0,DONNA
43,AL042005,2005,north_atlantic,130,10,47.45762711864407,1014.0,930.0,989.2033898305085,2005-07-04 18:00:00,2005-07-18 06:00:00,3,3.9,DENNIS
44,AL092012,2012,north_atlantic,70,20,47.05882352941177,1010.0,965.0,992.5882352941177,2012-08-20 12:00:00,2012-09-01 06:00:00,1,3.7,ISAAC
45,AL051985,1985,north_atlantic,110,20,65.45454545454545,1012.0,953.0,987.0,1985-08-28 00:00:00,1985-09-04 18:00:00,3,3.7,ELENA
46,AL132011,2011,north_atlantic,50,15,35.22727272727273,1007.0,986.0,995.0,2011-09-02 00:00:00,2011-09-06 18:00:00,TS,3.4,LEE
47,AL262020,2020,north_atlantic,120,20,67.74193548387096,1007.0,953.0,979.483870967742,2020-10-04 18:00:00,2020-10-11 18:00:00,2,3.4,DELTA
48,AL031991,1991,north_atlantic,100,10,40.36363636363637,1015.0,950.0,998.4727272727273,1991-08-16 00:00:00,1991-08-29 00:00:00,2,3.4,BOB
