,target_cost,max_windspeed_100m,min_pressure_msl,duration,med_cloudcover_low,avg_pressure_msl,med_surface_pressure,max_soil_moisture_100_to_255cm,avg_soil_temperature_28_to_100cm,avg_cloudcover_high,med_soil_temperature_28_to_100cm,med_soil_temperature_100_to_255cm,max_elevation,max_soil_moisture_28_to_100cm,med_soil_temperature_0_to_7cm,avg_et0_fao_evapotranspiration,avg_temperature_2m,max_precipitation,max_rain,min_temperature_2m,max_pressure_msl
32,-0.5431229556048665,0.7728553794145082,-2.0898911255001926,0.45148740130299053,0.09254127369271663,-0.8745833609922087,-0.1809262482878096,-0.7794295179450054,-1.964662587846922,-0.34945330224811094,0.34313460919103655,0.41090826725815205,-0.5415981495755526,-0.25577443333465383,0.4102662027226002,-1.3069261654110853,-2.2238341763897544,-0.19372628696408922,-0.19372628696408922,-1.9038693518508922,-0.655662510548408
33,-0.30057667297693474,0.30802564091387613,-0.48755577842870246,1.1347116988499941,0.5949081880246064,-0.3860911973023403,-0.4664015743060067,-0.04509096384805817,-0.0011482539964033803,0.5814105190008857,-0.1878700801453183,0.022702114213155235,0.15708788821412178,0.7855929023850104,-0.2108539448255579,-0.6963131209157422,0.1574583334925938,0.13962913513260738,0.13962913513260738,0.8029117548829662,-0.6311235984661852
34,0.9763480135386233,1.359351962220675,-0.8698673700106695,0.6792288338186584,-0.3380589385917604,-0.5381858270226321,0.033180246225823024,0.07729879516809982,0.5660892202270815,0.6876772738160372,0.16613304607891968,0.3246402332481533,-0.6962887852485432,0.041759091156678224,0.16181814370333789,-0.08570007642039816,0.5733460394438754,0.4868743664833332,0.4868743664833332,-0.1943233897031924,-0.31211774139698234
35,-0.522720026040589,-0.31590689398630045,0.26582294615929514,-0.9149611937910166,0.09254127369271663,-0.012117343048941773,0.06886466197810527,0.07729879516809982,0.03703119138402355,0.15304840656771876,0.16613304607891968,0.41090826725815205,-0.5338636177919031,0.636826140139344,0.09970612894852118,-0.6963131209157422,0.3922336513683168,0.0007310425923170422,0.0007310425923170422,0.7138729026877735,-1.0728240159465854
36,1.4980753200840673,0.0022986988127899253,0.4907121176781008,-0.45947832875968087,1.3125752084987348,0.18471100129496398,-0.27013728766849493,0.1996885541842578,-1.1519858218921244,-1.0224760827440673,-1.1908789377806563,-1.7242255744893251,0.19833872439358594,0.48805937789367754,-1.7636543136959533,-0.08570007642039816,-1.5060924903125397,-0.013158766661711695,-0.013158766661711695,-0.5326710280449247,-0.43481230180820774
37,0.4648247291743611,0.6511885351089736,-1.0891343122415038,0.6792288338186584,-0.6968924488288245,-0.684912410988095,-0.5199281979344098,0.1996885541842578,0.315195722012848,0.8680836250138514,0.284134088153665,0.3677742502531519,0.4587346277764535,0.3392926156480111,0.34815418796778574,0.524912968074945,0.7007954977192695,1.1535852106767268,1.1535852106767268,-0.6929409619962716,0.3995107089881195
38,-0.4779092800108485,-0.434454075617334,0.7943124992284936,-1.1427026263066844,-0.3380589385917604,0.365435208374363,0.4970776510053908,0.566857831232731,-0.04478190585974733,0.6003573047431222,0.16613304607891968,0.41090826725815205,0.8918684076608273,0.636826140139344,0.34815418796778574,-0.6963131209157422,0.0836718050173665,-0.3465141887584088,-0.3465141887584088,-0.7463642733133872,-0.14034535682128346
39,-0.5641908089202986,-0.3221462193353023,0.6818679134690907,-0.9149611937910166,-0.8404258529236502,0.7519345027224028,-0.823245731828748,-2.0033271081065838,0.882433196236331,1.090502414161842,0.5201361723031556,0.15210416522815418,2.562527272929126,-2.784809391510981,0.06865012157111285,0.524912968074945,0.10379540369242697,-0.6937594201091346,-0.6937594201091346,0.607026280053542,0.03142702775444327
40,0.16360148290607057,-0.18176139898276247,0.05780046250440377,-0.45947832875968087,-0.5533590447339989,-0.448718397775404,-0.2522950797923538,0.1996885541842578,-1.7192232961156073,-0.8074712532343432,-0.8663760720751053,-0.5380401068518376,-0.8148849392645028,0.3392926156480111,-1.7015422989411364,-0.08570007642039816,-1.7811150055383884,-0.8465473219034537,-0.8465473219034537,-1.262789616045505,-0.6311235984661852
41,-0.3706059309687384,0.3610599063803917,-1.0497787072257165,-0.45947832875968087,0.6666748900720193,-1.0696223567511716,-1.090878849970804,-0.04509096384805817,-0.23567913276188196,0.5945908916911367,0.10713252504154598,0.41090826725815205,0.2112296106996685,-0.10700767108898739,-0.7077500628640848,-1.3069261654110853,-0.33221590093391745,-0.19372628696408922,-0.19372628696408922,-0.8532108959476183,-1.0237461917820843
42,-0.5153419298018148,-0.18800072433176435,0.378267531918698,-0.9149611937910166,-0.4098256406391732,0.34396302535502743,-0.14524183253554762,0.1996885541842578,0.24974524421783015,0.15057708668829653,0.22513356711629126,0.3246402332481533,-0.06463535625049814,-0.7020747200716532,0.4102662027226002,0.524912968074945,0.633716835469064,-1.0965638884759763,-1.0965638884759763,1.2481060158589297,0.03142702775444327
43,-0.5823713587162936,-0.6902664149264067,0.7830680406525506,-1.3704440588223523,-0.6968924488288245,0.014722885725242912,0.06886466197810527,0.3220783132004151,-0.48111842449319653,-1.0562507877628358,-0.5418732063695563,0.06583613121815539,0.8583521032650127,-0.5533079578259867,-0.45930200384482023,-0.6963131209157422,-0.8822609313856149,-2.235528247306357,-2.235528247306357,-0.21213116014223088,-0.36119556556148363
44,-0.5801387493518395,-1.6729601573941855,1.5870468288322783,-1.3704440588223523,0.8819749962142578,0.9970752588598084,0.9788172636610997,0.566857831232731,0.4406424711199648,-2.4097103083930143,-0.36487164325743726,-0.5380401068518376,-1.1345789196553502,0.7855929023850104,-0.5835260333544514,-0.08570007642039816,0.4391887149434619,-0.4854122812986991,-0.4854122812986991,1.3193370976150836,-0.5329679501371825
45,0.11936615166098315,0.7697357167400075,-0.909222975026463,-0.6872197612753487,-0.6251257467814118,-1.0732010539210572,-1.1354843696611467,-0.16748072286421614,1.1006014555530566,0.5262177083604583,0.8741392985273935,0.7991144203031474,-0.7066014942934093,-1.594675293545651,0.9692743355159439,0.524912968074945,0.9758180129451183,1.5286100605355113,1.5286100605355113,0.607026280053542,-0.33665665347923296
